ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;952;180788;952
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;04 ;Diritti di segreteria;0;0;3250;0
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;01a;Tasse e contributi per iscrizione e frequenza;0;0;289897,12;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;02a;Tasse per esami di ammissione ed esami finali;0;0;3810;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;101749;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;04 ;Diritti di segreteria;0;0;9400;0
2024-2025;075101075035;Accademie delle Belle Arti;;LECCE;05 ;Altro da studenti non costituenti gettito;0;0;12965,33;0
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;01a;Tasse e contributi per iscrizione e frequenza;0;0;89541;0
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;02a;Tasse per esami di ammissione ed esami finali;0;0;0;0
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;402;52530;402
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;079101079023;Accademie delle Belle Arti;;CATANZARO;05 ;Altro da studenti non costituenti gettito;0;0;4784;0
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;01a;Tasse e contributi per iscrizione e frequenza;0;0;115594,35;0
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;02a;Tasse per esami di ammissione ed esami finali;0;0;1907,64;0
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;68892,8;0
2024-2025;080101080063;Accademie delle Belle Arti;;REGGIO CALABRIA;04 ;Diritti di segreteria;0;0;0;0
