CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,MATEMATICA,9788808921277,BERTINETTO CLARA - METIÄINEN ARJA - PAASONEN J - VOUTILAINEN E,CONTACI! - CONF. 1 - SECONDA EDIZIONE (LDM),"NUMERI, RELAZIONI, DATI 1 + MISURE, SPAZIO E FIGURE 1  + TAVOLE NUMERICHE",1,ZANICHELLI EDITORE,"31,50",No,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,SCIENZE,9788824797061,"ZANOLI STEFANO  ",INTORNO A TE,VOLUME 1,1,A. MONDADORI SCUOLA,"17,40",Si,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,TECNOLOGIA,9788869176913,"ARDUINO GIANNI  ",HYPERTECH PRO,SETTORI PRODUTTIVI,U,LATTES,"20,00",No,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,ARTE E IMMAGINE,9788863087222,"CIRIBÌ FEDERICA  ",DIARIO VISIVO,VOLUME 1 DALLA PREISTORIA AL NEOCLASSICISMO,1,ELECTA SCUOLA,"18,80",Si,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,MUSICA,9788891579256,ACCARDO SALVATORE - GIACOMELLI GABRIELE - LENZI PAOLA,MUSICALL,VOLUME A,U,FABBRI SCUOLA,"17,50",Si,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,SCIENZE MOTORIE E SPORTIVE,9788839304377,"FIORINI G  CHIESA E  SPILIMBERGO GE - MONTEFORTE BIANCHI N  MELCHIORRE D ",AGILE + EBOOK,VOLUME + EBOOK,U,MARIETTI SCUOLA,"12,35",Si,Si,No
PGMM82701X,1,C,MM,30 ORE DI ORARIO ORDINARIO,SECONDA LINGUA COMUNITARIA (FRANCESE),9791255810940,"MARIE JOSE QUAGLIA - NATHALIE ZARKA ",TOUJOURS EN BALADE EN POCHE EDIZIONE LEGGERA,ND,U,LANG EDIZIONI,"30,10",Si,Si,No
PGMM82701X,2,A,MM,30 ORE DI ORARIO ORDINARIO,ITALIANO,9788891545947,"ZORDAN ROSETTA  ",A RIGOR DI LOGICA  LIBRO MISTO CON LIBRO DIGITALE,"FONOLOGIA,ORTOGRAFIA,MORFOLOGIA,SINTASSI,LESSICO CON HUB YOUNG E HUB KIT",U,FABBRI SCUOLA,"29,30",No,No,No
PGMM82701X,2,A,MM,30 ORE DI ORARIO ORDINARIO,ITALIANO,9788891556455,"ZORDAN ROSETTA  ",LETTURA OLTRE,"VOLUME 2, QUADERNO 2, LETTERATURA TEATRO",2,FABBRI SCUOLA,"33,80",No,No,Ap
PGMM82701X,2,A,MM,30 ORE DI ORARIO ORDINARIO,LINGUA INGLESE,9780194088039,"AA VV  ",THINK BIG 2 PLUS: SB+BOOSTER W/DIG,ND,2,OXFORD UNIVERSITY PRESS,"24,00",No,Si,No
PGMM82701X,2,A,MM,30 ORE DI ORARIO ORDINARIO,STORIA,9788891574480,"BIGGIO BARBARA  ",STORIA A COLORI (LA),VOLUME 2 CON QUANDO DOVE COSA,2,FABBRI SCUOLA,"25,40",No,Si,No
