freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT108,FOR_ST_F,9,2,1,2012,1914.0,2012
A,IT108,FOR_ST_F,9,2,1,2013,1959.0,2013
A,IT108,FOR_ST_F,9,2,1,2014,2149.0,2014
A,IT108,FOR_ST_F,9,2,1A,2010,1701.0,2010
A,IT108,FOR_ST_F,9,2,1A,2011,1851.0,2011
A,IT108,FOR_ST_F,9,2,1A,2012,1914.0,2012
A,IT108,FOR_ST_F,9,2,1A,2013,1959.0,2013
A,IT108,FOR_ST_F,9,2,1A,2014,2149.0,2014
A,IT108,FOR_ST_F,9,2,2,2010,20.0,2010
A,IT108,FOR_ST_F,9,2,2,2011,17.0,2011
A,IT108,FOR_ST_F,9,2,2,2012,20.0,2012
A,IT108,FOR_ST_F,9,2,2,2013,23.0,2013
A,IT108,FOR_ST_F,9,2,2,2014,19.0,2014
A,IT108,FOR_ST_F,9,2,9,2010,1721.0,2010
A,IT108,FOR_ST_F,9,2,9,2011,1868.0,2011
A,IT108,FOR_ST_F,9,2,9,2012,1934.0,2012
A,IT108,FOR_ST_F,9,2,9,2013,1982.0,2013
A,IT108,FOR_ST_F,9,2,9,2014,2168.0,2014
A,IT109,SCH,9,2,1,2010,59.0,2010
A,IT109,SCH,9,2,1,2011,59.0,2011
A,IT109,SCH,9,2,1,2012,57.0,2012
A,IT109,SCH,9,2,1,2013,57.0,2013
A,IT109,SCH,9,2,1,2014,57.0,2014
A,IT109,SCH,9,2,1A,2010,59.0,2010
A,IT109,SCH,9,2,1A,2011,59.0,2011
A,IT109,SCH,9,2,1A,2012,57.0,2012
A,IT109,SCH,9,2,1A,2013,57.0,2013
A,IT109,SCH,9,2,1A,2014,57.0,2014
A,IT109,SCH,9,2,2,2010,1.0,2010
A,IT109,SCH,9,2,2,2011,1.0,2011
A,IT109,SCH,9,2,2,2012,1.0,2012
A,IT109,SCH,9,2,2,2013,1.0,2013
A,IT109,SCH,9,2,2,2014,1.0,2014
A,IT109,SCH,9,2,9,2010,60.0,2010
A,IT109,SCH,9,2,9,2011,60.0,2011
A,IT109,SCH,9,2,9,2012,58.0,2012
A,IT109,SCH,9,2,9,2013,58.0,2013
A,IT109,SCH,9,2,9,2014,58.0,2014
A,IT109,CLSS,9,2,1,2010,397.0,2010
A,IT109,CLSS,9,2,1,2011,388.0,2011
A,IT109,CLSS,9,2,1,2012,369.0,2012
A,IT109,CLSS,9,2,1,2013,372.0,2013
A,IT109,CLSS,9,2,1,2014,381.0,2014
A,IT109,CLSS,9,2,1A,2010,397.0,2010
