DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2012,55.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2013,59.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2014,53.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2015,50.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2016,48.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2017,44.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2018,41.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2019,37.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2020,38.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2021,35.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2022,31.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2023,26.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2024,22.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2025,19.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2009,37.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2010,41.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2011,46.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2012,52.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2013,55.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2014,53.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2015,48.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2016,44.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2017,38.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2018,34.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2019,32.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2020,38.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2021,35.0,d,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2022,29.7,d,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2023,28.7,d,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2024,26.5,d,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,ES,2025,24.9,d,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2009,21.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2010,22.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2011,22.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2012,24.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2013,25.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2014,24.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2015,22.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2016,20.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2017,18.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2018,16.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2019,15.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2020,17.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2021,16.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2022,14.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2023,14.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2024,14.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EU27_2020,2025,15.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2009,21.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2010,22.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2011,20.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2012,19.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2013,20.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2014,20.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,FI,2015,22.5,,
